啊|ā|ah
对面|duìmiàn|opposite
多|duō|many
多久|duōjiǔ|how long
多么|duōme|how
多数|duōshù|most
多云|duōyún|partly cloudy
而且|érqiě|and
发|fā|hair
饭馆|fànguǎn|restaurant
发现|fāxiàn|Discover
方便|fāngbiàn|convenient
方便面|fāngbiànmiàn|instant noodles
方法|fāngfǎ|method
方面|fāngmiàn|aspect
方向|fāngxiàng|direction
放下|fàngxià|lay down
放心|fàng//xīn|rest assured
分|fēn|point
分开|fēn//kāi|separate
分数|fēnshù|Fraction
分钟|fēnzhōng|minute
份|fèn|share
封|fēng|seal up
服务|fúwù|Serve
复习|fùxí|review
该|gāi|Should
改|gǎi|change
改变|gǎibiàn|Change
干杯|gān//bēi|cheers
感到|gǎndào|feel
感动|gǎndòng|move
感觉|gǎnjué|Feel
感谢|gǎnxiè|grateful
干活儿|gàn//huór|work
刚|gāng|Just
刚才|gāngcái|Just now
刚刚|gānggāng|just
高级|gāojí|advanced
高中|gāozhōng|high school
个子|gèzi|Height
更|gèng|Even
公共汽车|gōnggòng qìchē|bus
公交车|gōngjiāochē|the bus
公斤|gōngjīn|Kilogram
公里|gōnglǐ|kilometer
公路|gōnglù|highway
公平|gōngpíng|fair
公司|gōngsī|company
公园|gōngyuán|garden
狗|gǒu|dog
够|gòu|enough
故事|gùshì|story
故意|gùyì|deliberately
顾客|gùkè|customer
关机|guānjī|Power off
关心|guānxīn|care
观点|guāndiǎn|Opinion
广场|guǎngchǎng|square
广告|guǎnggào|advertise
国际|guójì|internationality
过来|guò·lái|come over
过年|guònián|Chinese New Year
过去|guòqù|past
过|guò|Pass
海|hǎi|ocean
海边|hǎi biān|seaside
喊|hǎn|call
好|hǎo|good
好处|hǎochù|benefit
好多|hǎoduō|many
好久|hǎojiǔ|long time
好人|hǎorén|good people
好事|hǎoshì|Good thing
好像|hǎoxiàng|like
合适|héshì|suitable
河|hé|river
黑|hēi|black
黑板|hēibǎn|blackboard
黑色|hēisè|black
红|hóng|red
红色|hóngsè|red
后来|hòulái|later
忽然|hūrán|suddenly
湖|hú|lake
护照|hùzhào|passport
花|huā|flower
花园|huāyuán|garden
画|huà|painting
画家|huàjiā|painter
画儿|huàr|Painting
坏处|huàichù|harm
坏人|huàirén|bad guys
欢迎|huānyíng|welcome
换|huàn|Change
黄|huáng|yellow
黄色|huángsè|yellow
回|huí|return
回国|huí guó|Returning to China
会|huì|meeting
活动|huódòng|Activity
或|huò|or
或者|huòzhě|or
机会|jī·huì|Chance
鸡|jī|chicken
级|jí|class
急|jí|urgent
计划|jìhuà|plan
计算机|jìsuànjī|computer
加|jiā|add
加油|jiāyóu|come on
科学家|jiā (kēxuéjiā)|the scientist
家庭|jiātíng|family
家长|jiāzhǎng|Parents
假|jiǎ|Fake
假期|jiàqī|holiday
检查|jiǎnchá|examine
见到|jiàndào|See
见过|jiànguò|I've seen
件|jiàn|Item
健康|jiànkāng|healthy
讲|jiǎng|speak
讲话|jiǎng//huà|Speech
交|jiāo|pay
交给|jiāo gěi|Give
交朋友|jiāo péngyǒu|Make friends
交通|jiāotōng|transportation
角|jiǎo|horn
角度|jiǎodù|angle
饺子|jiǎozi|dumpling
脚|jiǎo|foot
叫作|jiàozuò|Called
教师|jiàoshī|teacher
教室|jiàoshì|classroom
教学|jiàoxué|teaching
教育|jiàoyù|educate
接|jiē|catch
接到|jiēdào|Received
接受|jiēshòu|accept
接下来|jiē·xià·lái|Next
接着|jiēzhe|then
街|jiē|street
节|jié|Festival
节目|jiémù|programme
节日|jiérì|festival
结果|jiéguǒ|result
借|jiè|borrow
斤|jīn|catty
今后|jīnhòu|from now on
进入|jìnrù|Enter
进行|jìnxíng|conduct
近|jìn|close
经常|jīngcháng|often
经过|jīngguò|go through
经理|jīnglǐ|manager
酒|jiǔ|liquor
酒店|jiǔdiàn|hotel
就要|jiùyào|It is about to
举|jǔ|Lift
举手|jǔshǒu|Raise your hand
举行|jǔxíng|Hold
句|jù|sentence
句子|jùzi|sentence
卡|kǎ|Card
开机|kāijī|Power on
开心|kāixīn|happy
开学|kāixué|School starts
看法|kàn·fǎ|view
考生|kǎoshēng|Candidates
靠|kào|Depend on
科|kē|division
科学|kēxué|science
可爱|kěài|cute
可能|kěnéng|possible
可怕|kěpà|horrible
可是|kěshì|But
可以|kěyǐ|Can
刻|kè|carve
克|kè|gram
客人|kè·rén|guest
课堂|kètáng|classroom
空气|kōngqì|Air
哭|kū|cry
快餐|kuàicān|fast food
快点儿|kuài diǎnr|Hurry up
快乐|kuàilè|hapiness
快要|kuàiyào|Soon
筷子|kuài zi|Chopsticks
拉|lā|pull
来自|láizì|From
蓝|lán|blue
蓝色|lánsè|blue
篮球|lánqiú|basketball
老|lǎo|old
老|lǎo|old
老年|lǎonián|elderly
老朋友|lǎo péngyǒu|Old friends
老是|lǎo·shì|always
离|lí|Leave
离开|líkāi|leave
礼物|lǐwù|Gift
里头|lǐtou|Inside
理想|lǐxiǎng|ideal
例如|lìrú|For example
例子|lìzi|example
脸|liǎn|Face
练|liàn|practice
练习|liànxí|practise
凉|liáng|cold
凉快|liángkuài|Cool
两|liǎng|two
亮|liàng|Bright
辆|liàng|vehicle
零下|líng xià|below zero
留|liú|Keep
留下|liúxià|Leave
留学生|liúxuéshēng|International students
流|liú|flow
流利|liúlì|fluent
流行|liúxíng|Popularity
路边|lù biān|roadside
旅客|lǚkè|Passengers
旅行|lǚxíng|travel
旅游|lǚyóu|travel
绿|lǜ|green
绿色|lǜsè|green
卖|mài|Sell
满|mǎn|Full
满意|mǎnyì|satisfy
猫|māo|cat
米|mǐ|rice
面|miàn|noodle
面|miàn|noodle
面前|miànqián|before
名|míng|name
名称|míngchēng|name
名单|míngdān|List
明星|míngxīng|star
目的|mùdì|Purpose
拿出|náchū|Take out
拿到|nádào|Get
那|nà|That
那会儿|nàhuìr|Back then
那么|nàme|So
那时候/那时|nà shíhòu nà shí|At that time / Back then
那样|nàyàng|That
南方|nánfāng|south
难过|nánguò|sad
难看|nánkàn|Ugly
难受|nánshòu|It's uncomfortable
难题|nántí|problem
难听|nántīng|Unpleasant to listen to
能够|nénggòu|can
年级|niánjí|grade
年轻|niánqīng|young
乌|wū|Wu
弄|nòng|alley
努力|nǔlì|effort
爬山|pá shān|climb mountains
爬|pá|climb
怕|pà|Afraid
排|pái|Row
排队|páiduì|queue
排球|páiqiú|volleyball
碰|pèng|bump
碰到|pèngdào|bump into
碰见|pèngjiàn|meet
篇|piān|Chapter
便宜|piányi|Cheap
片|piàn|piece
漂亮|piàoliàng|pretty
平|píng|flat
平安|píng’ān|Safety
平常|píngcháng|usually
平等|píngděng|equality
平时|píngshí|usually
瓶|píng|bottle
瓶子|píngzi|bottle
普通|pǔtōng|ordinary
普通话|pǔtōnghuà|mandarin
其他|qítā|other
其中|qízhōng|in
骑|qí|ride
骑车|qí chē|Cycling
起飞|qǐfēi|take off
气|qì|gas
气温|qìwēn|Temperature
千|qiān|thousand
千克|qiānkè|kilogram
前年|qiánnián|the year before last
墙|qiáng|wall
青年|qīngnián|youth
青少年|qīng-shàonián|teenager
轻|qīng|light
清楚|qīngchǔ|clear
晴|qíng|clear
晴天|qíngtiān|sunny
请客|qǐngkè|dinner
请求|qǐngqiú|ask
秋天|qiūtiān|autumn
求|qiú|beg
球场|qiúchǎng|court
球队|qiúduì|team
球鞋|qiúxié|sneakers
取|qǔ|Pick
取得|qǔdé|Obtain
全|quán|Complete
全部|quánbù|all
全国|quánguó|Nationwide
全家|quánjiā|The whole family
全年|quánnián|annual
全身|quánshēn|whole body
全体|quántǐ|All
然后|ránhòu|Then
让|ràng|let
热情|rèqíng|enthusiasm
人口|rénkǒu|population
人们|rénmen|people
人数|rénshù|Number of people
认为|rènwéi|think
日报|rìbào|daily
日子|rìzi|day
如果|rúguǒ|if
入口|rù //kǒu|Entrance
商量|shāngliáng|discuss
商人|shāngrén|merchant
上周|shàng zhōu|Last week
少数|shǎoshù|few
少年|shàonián|juvenile
身边|shēnbiān|Around
什么样|shénmeyàng|What kind
生|shēng|born
生词|shēngcí|New words
生活|shēnghuó|Life
声音|shēngyīn|sound
省|shěng|Province
省|shěng|Province
十分|shífēn|very
实际|shíjì|actual
实习|shíxí|practice
实现|shíxiàn|accomplish
实在|shízài|really
食物|shíwù|food
使用|shǐyòng|use
市|shì|city
市长|shìzhǎng|mayor
事情|shì qíng|matter
收|shōu|receive
收到|shōudào|receive
收入|shōurù|income
手表|shǒubiǎo|watch
受到|shòudào|Received
舒服|shūfú|Comfortable
熟|shú / shóu|Cooked
数|shù|number
数字|shùzì|number
水平|shuǐpíng|level
顺利|shùnlì|smoothly
说明|shuōmíng|illustrate
司机|sījī|driver
送到|sòngdào|Delivered to
送给|sòng gěi|Give
算|suàn|Calculate
虽然|suīrán|Although
随便|suíbiàn|casual
随时|suíshí|at any time
所以|suǒyǐ|so
所有|suǒyǒu|all
它|tā|it
它们|tāmen|they
太太|tàitài|Mrs
太阳|tài·yáng|sun
讨论|tǎolùn|discuss
态度|tài·dù|manner
套|tào|set
特别|tèbié|special
特点|tèdiǎn|Features
疼|téng|pain
提|tí|carry
提出|tíchū|propose
提到|tídào|Mention
提高|tígāo|improve
题|tí|question
体育|tǐyù|physical education
体育场|tǐyùchǎng|stadium
体育馆|tǐyùguǎn|stadium
天上|tiānshàng|Heaven
条|tiáo|strip
条件|tiáojiàn|condition
听讲|tīngjiǎng|Listening
听说|tīngshuō|I heard
停|tíng|stop
停车|tíngchē|parking
停车场|tíngchēchǎng|PARKING LOT
挺|tǐng|quite
挺好|tǐng hǎo|Good
通|tōng|Pass
通过|tōngguò|pass
通知|tōngzhī|notify
同时|tóngshí|at the same time
同事|tóngshì|colleague
同样|tóngyàng|same
头|tóu|head
里头|lǐtou|Inside
头发|tóufà|hair
图片|túpiàn|picture
推|tuī|push
腿|tuǐ|leg
外地|wàidì|out of town
外卖|wàimài|takeout
完|wán|over
完成|wánchéng|Finish
完全|wánquán|completely
晚安|wǎn’ān|Good night
晚报|wǎnbào|Evening News
晚餐|wǎncān|dinner
晚会|wǎnhuì|party
碗|wǎn|bowl
万|wàn|Ten thousand
网|wǎng|net
网球|wǎngqiú|tennis
网站|wǎngzhàn|website
往|wǎng|Past
为|wéi|for
为什么|wèi shénme|Why
位|wèi|Bit
味道|wèi·dào|smell
喂|wèi|Hello
温度|wēndù|temperature
闻|wén|smell
问路|wènlù|Asking for directions
问题|wèntí|question
午餐|wǔcān|Lunch
午睡|wǔshuì|Afternoon nap
西北|xīběi|northwest
西餐|xīcān|Western food
西方|xīfāng|The west
西南|xīnán|southwest
西医|xīyī|Western medicine
习惯|xíguàn|Habit
洗衣机|xǐyījī|washing machine
洗澡|xǐzǎo|bath
下|xià|Down
下雪|xià xuě|snow
下周|xià zhōu|next week
夏天|xiàtiān|summer
相同|xiāngtóng|same
相信|xiāngxìn|believe
响|xiǎng|ring
想到|xiǎngdào|think
想法|xiǎng·fǎ|idea
想起|xiǎngqǐ|think
向|xiàng|Towards
相机|xiàngjī|camera
像|xiàng|picture
小|Xiǎo|Small
小声|xiǎo shēng|whisper
小时候|xiǎoshíhòu|When I was a child
小说|xiǎoshuō|novel
小心|xiǎoxīn|careful
小组|xiǎozǔ|group
校园|xiàoyuán|campus
校长|xiàozhǎng|headmaster
笑话|xiàohua|joke
笑话儿|xiàohuar|Joke
鞋|xié|shoe
心里|xīn·lǐ|In my heart
心情|xīnqíng|Feeling
心中|xīnzhōng|In my heart
新闻|xīnwén|news
信|xìn|letter
信号|xìnhào|Signal
信息|xìnxī|information
信心|xìnxīn|confidence
信用卡|xìnyòngkǎ|credit card
星星|xīngxīng|Star
行动|xíngdòng|action
行人|xíngrén|pedestrian
行为|xíngwéi|Behavior
姓|xìng|surname
姓名|xìngmíng|Name
休假|xiūjià|take a vacation
许多|xǔduō|many
选|xuǎn|select
学期|xuéqī|semester
雪|xuě|Snow
颜色|yánsè|color
眼|yǎn|Eye
眼睛|yǎnjing|Eye
养|yǎng|keep
样子|yàngzi|appearance
要求|yāoqiú|Require
药|yào|medicine
药店|yàodiàn|pharmacy
药片|yàopiàn|pill
药水|yàoshuǐ|medicine
也许|yěxǔ|Maybe
夜|yè|night
夜里|yè·lǐ|at night
一部分|yī bùfèn|Part
一定|yīdìng|must
一共|yīgòng|Total
一会儿|yīhuìr|A while
一路平安|yīlù-píng’ān|Have a safe journey
一路顺风|yīlù-shùnfēng|Bon Voyage
已经|yǐjīng|already
以后|yǐhòu|after
以前|yǐqián|before
以上|yǐshàng|above
以外|yǐwài|outside
以为|yǐwéi|Think
以下|yǐxià|the following
椅子|yǐzi|Chair
一般|yībān|generally
一点点|yī diǎndiǎn|A little bit
一生|yīshēng|lifetime
一直|yīzhí|Always
亿|yì|100 million
意见|yì·jiàn|Opinion
意思|yìsī|mean
因为|yīn·wèi|because
阴|yīn|Negative
阴天|yīntiān|cloudy day
音节|yīnjié|syllable
音乐|yīnyuè|music
音乐会|yīnyuèhuì|concert
银行|yínháng|bank
银行卡|yínhángkǎ|bank card
应该|yīnggāi|should
英文|Yīngwén|English
英语|Yīngyǔ|English
影片|yǐngpiàn|Film
影响|yǐngxiǎng|Influence
永远|yǒng yuǎn|forever
油|yóu|Oil
游客|yóukè|tourists
友好|yǒuhǎo|friendly
有空儿|yǒukòngr|When you have time
有人|yǒurén|Someone
有(一)点儿|yǒu(yī)diǎnr|A little bit
有意思|yǒu yìsī|interesting
又|yòu|again
鱼|yú|fish
语言|yǔyán|language
原来|yuánlái|turn out to be
原因|yuányīn|reason
院|yuàn|hospital
院长|yuànzhǎng|Dean
院子|yuànzi|courtyard
愿意|yuànyì|willing
月份|yuèfèn|month
月亮|yuèliàng|moon
越|yuè|cross
越来越|yuè lái yuè|More and more
云|yún|cloud
运动|yùndòng|sports
咱|zán|we
咱们|zánmen|we
脏|zāng|dirty
早餐|zǎocān|breakfast
早晨|zǎochén|morning
早就|zǎo jiù|long ago
怎么办|zěnme bàn|what to do
怎么样|zěnmeyàng|How about it
怎样|zěnyàng|how
占|zhàn|occupy
站|zhàn|stand
站住|zhànzhù|stop
长|cháng|long
长大|zhǎngdà|grow up
找出|zhǎochū|Find
照顾|zhàogù|take care of
照片|zhàopiàn|photo
照相|zhàoxiàng|Photography
这么|zhème|so
这时候/这时|zhè shíhòu/zhè shí|At this time/At this moment
这样|zhèyàng|so
真正|zhēnzhèng|real
正常|zhèngcháng|normal
正好|zhènghǎo|Just right
正确|zhèngquè|correct
正是|zhèng shì|That's right
直接|zhíjiē|direct
只|zhǐ|Only
只能|zhǐ néng|Only
只要|zhǐyào|if only
纸|zhǐ|Paper
中餐|zhōngcān|Chinese food
中级|zhōngjí|intermediate
中年|zhōngnián|middle aged
中小学|zhōng-xiǎoxué|Primary and secondary schools
中心|zhōngxīn|center
中医|zhōngyī|Traditional Chinese Medicine
重点|zhòngdiǎn|Key Points
重视|zhòngshì|Pay attention to
周|zhōu|week
周末|zhōumò|weekend
周年|zhōunián|anniversary
主人|zhǔ·rén|Owner
主要|zhǔyào|main
住房|zhùfáng|housing
住院|zhùyuàn|Hospitalization
装|zhuāng|Pack
准确|zhǔnquè|precise
自己|zìjǐ|Own
自行车|zìxíngchē|bike
自由|zìyóu|free
字典|zìdiǎn|dictionary
走过|zǒuguò|Walked
走进|zǒujìn|Enter
走开|zǒukāi|Go away
租|zū|rent
组|zǔ|Group
组成|zǔchéng|composition
组长|zǔzhǎng|Team leader
嘴|zuǐ|Mouth
最近|zuìjìn|recent
作家|zuòjiā|writer
作文|zuòwén|composition
作业|zuòyè|Operation
作用|zuòyòng|effect
座|zuò|seat
座位|zuò·wèi|seat
做到|zuòdào|Do
做法|zuò·fǎ|practice
做饭|zuòfàn|Cook




































































































































































































































