岸|/àn/|shore
黑暗|/hēi’àn/|dark
痕迹|/hénjì/|trace
狠|/hěn/|ruthless
恨|/hèn/|hatred
横|/héng/|horizontal
衡量|/héngliáng/|measure
宏大|/hóngdà/|grand
洪水|/hóngshuǐ/|flood
后代|/hòudài/|descendants
后期|/hòuqī/|Later
后人|/hòurén/|descendants
后退|/hòutuì/|Back
后者|/hòuzhě/|the latter
忽略|/hūlüè/|neglect
壶|/hú/|pot
胡子|/húzi/|beard
户|/hù/|household
互助|/hùzhù/|Mutual assistance
花朵|/huāduǒ/|flowers
花生|/huāshēng/|peanut
滑冰|/huábīng/|skate
滑行|/huáxíng/|slide
滑雪|/huáxuě/|ski
划|/huá/|Plan
划分|/huàfēn/|Division
化石|/huàshí/|fossil
话筒|/huàtǒng/|microphone
化妆|/huàzhuāng/|make up
怀|/huái/|Huai
怀念|/huáiniàn/|Nostalgia
怀孕|/huáiyùn/|Pregnant
欢乐|/huānlè/|joy
环|/huán/|ring
还原|/huányuán/|reduction
患|/huàn/|Suffering
幻想|/huànxiǎng/|fantasy
患者|/huànzhě/|patient
黄|/huáng/|yellow
皇帝|/huángdì/|emperor
灰尘|/huīchén/|dust
灰心|/huīxīn/|discouraged
回报|/huíbào/|Return
回顾|/huígù/|review
回头|/huítóu/|Looking back
汇|/huì/|exchange
汇报|/huìbào/|report
绘画|/huìhuà/|painting
会见|/huìjiàn/|meet
汇款|/huìkuǎn/|money transfer
婚姻|/hūnyīn/|marriage
混|/hùn/|mix
混合|/hùnhé/|mix
混乱|/hùnluàn/|confusion
活力|/huólì/|vitality
活跃|/huóyuè/|active
火柴|/huǒchái/|matches
火灾|/huǒzāi/|fire
货币|/huòbì/|currency
货车|/huòchē/|truck
击败|/jībài/|beat
基地|/jīdì/|base
机动车|/jīdòngchē/|motor vehicles
饥饿|/jī’è/|hunger
激发|/jīfā/|excitation
基金|/jījīn/|fund
激励|/jīlì/|excitation
激情|/jīqíng/|Passion
机械|/jīxiè/|mechanical
基因|/jīyīn/|Gene
机遇|/jīyù/|opportunity
机制|/jīzhì/|mechanism
即便|/jíbiàn/|even if
极端|/jíduān/|extreme
急救|/jíjiù/|first aid
急切|/jíqiè/|eager
集团|/jítuán/|group
极为|/jíwéi/|Extremely
吉祥|/jíxiáng/|auspicious
继承|/jìchéng/|inherit
季军|/jìjūn/|Third place
纪律|/jìlǜ/|discipline
寂寞|/jìmò/|lonely
技巧|/jìqiǎo/|Skill
技艺|/jìyì/|skill
夹|/jiā/|folder
加倍|/jiābèi/|double
家常|/jiācháng/|Home-style
家家户户|/jiājiāhùhù/|each and every family
加剧|/jiājù/|exacerbate
家居|/jiājū/|Home
家属|/jiāshǔ/|Family members
加以|/jiāyǐ/|Add
家园|/jiāyuán/|home
加重|/jiāzhòng/|aggravated
假设|/jiǎshè/|Assumption
嫁|/jià/|marry
尖|/jiān/|tip
肩膀|/jiānbǎng/|Shoulder
监测|/jiāncè/|monitor
坚定|/jiāndìng/|firm
监督|/jiāndū/|Supervision
坚固|/jiāngù/|sturdy
坚决|/jiānjué/|Resolute
艰难|/jiānnán/|difficult
艰辛|/jiānxīn/|hardships
坚硬|/jiānyìng/|hard
兼职|/jiānzhí/|part time
检测|/jiǎncè/|Detection
简化|/jiǎnhuà/|simplify
简介|/jiǎnjiè/|Introduction
减弱|/jiǎnruò/|weaken
减压|/jiǎnyā/|reduced pressure
检验|/jiǎnyàn/|test
剑|/jiàn/|sword
箭|/jiàn/|arrow
鉴定|/jiàndìng/|Identification
间隔|/jiàngé/|interval
间接|/jiànjiē/|indirect
健全|/jiànquán/|sound
建筑物|/jiànzhùwù/|building
将军|/jiāngjūn/|General
讲解|/jiǎngjiě/|explain
奖牌|/jiǎngpái/|Medals
奖品|/jiǎngpǐn/|prize
酱|/jiàng/|Sauce
酱油|/jiàngyóu/|soy sauce
胶带|/jiāodài/|adhesive tape
焦点|/jiāodiǎn/|focus
交际|/jiāojì/|communication
焦虑|/jiāolǜ/|anxiety
胶水|/jiāoshuǐ/|glue
交谈|/jiāotán/|chat
郊外|/jiāowài/|suburbs
角落|/jiǎoluò/|corner
脚印|/jiǎoyìn/|footprint
较为|/jiàowéi/|relatively
教训|/jiàoxùn/|lesson
结|/jiē/|Knot
打结|/dǎ jié/|tie
接连|/jiēlián/|consecutive
结实|/jiēshi/|solid
街头|/jiētóu/|street
杰出|/jiéchū/|Outstanding
节能|/jiénéng/|Energy saving
结尾|/jiéwěi/|End
截至|/jiézhì/|As of
截止|/jiézhǐ/|Deadline
节奏|/jiézòu/|Rhythm
解|/jiě/|untie
解答|/jiědá/|answer
解读|/jiědú/|Interpretation
解放|/jiěfàng/|liberation
解说|/jiěshuō/|Commentary
借鉴|/jièjiàn/|Reference
戒指|/jièzhi/|ring
借助|/jièzhù/|With the help of
金额|/jīn’é/|Amount
金牌|/jīnpái/|gold medal
金钱|/jīnqián/|money
金融|/jīnróng/|finance
金属|/jīnshǔ/|Metal
金子|/jīnzi/|gold
尽|/jìn/|Exhausted
进而|/jìn’ér/|and then
进度|/jìndù/|schedule
进化|/jìnhuà/|evolution
近来|/jìnlái/|recently
近视|/jìnshì/|Shortsighted
进展|/jìnzhǎn/|progress
精美|/jīngměi/|fine
精确|/jīngquè/|accurate
惊人|/jīngrén/|amazing
经商|/jīngshāng/|doing business
精通|/jīngtōng/|proficient
精心|/jīngxīn/|Carefully
惊讶|/jīngyà/|surprise
精致|/jīngzhì/|Exquisite
精准|/jīngzhǔn/|Precision
井|/jǐng/|well
警告|/jǐnggào/|warn
景观|/jǐngguān/|landscape
景象|/jǐngxiàng/|scene
颈椎|/jǐngzhuī/|Cervical spine
净|/jìng/|net
竞赛|/jìngsài/|competition
镜头|/jìngtóu/|lens
纠纷|/jiūfēn/|dispute
纠正|/jiūzhèng/|correct
酒精|/jiǔjīng/|Alcohol
酒水|/jiǔshuǐ/|Beverages
就读|/jiùdú/|Studying
舅舅|/jiùjiu/|uncle
救命|/jiùmìng/|Help
就算|/jiùsuàn/|Even
救援|/jiùyuán/|rescue
救灾|/jiùzāi/|Disaster relief
救助|/jiùzhù/|rescue
局|/jú/|Bureau
局|/jú/|Bureau
菊花|/júhuā/|chrysanthemum
局面|/júmiàn/|situation
局限|/júxiàn/|Limitations
举动|/jǔdòng/|move
剧本|/jùběn/|script
聚集|/jùjí/|Gathering
俱乐部|/jùlèbù/|club
剧烈|/jùliè/|severe
捐款|/juānkuǎn/|donation
捐赠|/juānzèng/|donation
卷|/juǎn/|roll
卷|/juàn/|roll
决策|/juécè/|decision making
绝望|/juéwàng/|despair
军队|/jūnduì/|army
军人|/jūnrén/|soldier
均匀|/jūnyún/|uniform
卡片|/kǎpiàn/|card
开创|/kāichuàng/|pioneer
开关|/kāiguān/|switch
开启|/kāiqǐ/|Open
开设|/kāishè/|open
开头|/kāitóu/|beginning
砍|/kǎn/|cut
看不起|/kànbuqǐ/|despise
看待|/kàndài/|View
看得起|/kàndeqǐ/|Look up
看好|/kànhǎo/|Optimistic
看似|/kànsì/|It seems
看中|/kànzhòng/|Take a liking
看重|/kànzhòng/|value
康复|/kāngfù/|Rehabilitation
考察|/kǎochá/|Investigation
考古|/kǎogǔ/|archeology
考核|/kǎohé/|Assessment
考验|/kǎoyàn/|test
科|/kē/|division
科幻|/kēhuàn/|Science Fiction
科目|/kēmù/|suject
科普|/kēpǔ/|Popular Science
可口|/kěkǒu/|tasty
可怜|/kělián/|Pitiful
渴望|/kěwàng/|eager
可行|/kěxíng/|feasible
客车|/kèchē/|bus
课题|/kètí/|Research topic
肯|/kěn/|Ken
恐惧|/kǒngjù/|fear
空地|/kòngdì/|space
空闲|/kòngxián/|idle
口感|/kǒugǎn/|taste
口号|/kǒuhào/|slogan
口腔|/kǒuqiāng/|oral cavity
口头|/kǒutóu/|oral
扣|/kòu/|buckle
枯燥|/kūzào/|dull
酷|/kù/|cool
夸|/kuā/|boast
夸奖|/kuājiǎng/|praise
夸张|/kuāzhāng/|exaggerate
会计|/kuàijì/|Accounting
快捷|/kuàijié/|Quick
款|/kuǎn/|payment
款式|/kuǎnshì/|shape
亏损|/kuīsǔn/|Loss
困扰|/kùnrǎo/|trouble
扩展|/kuòzhǎn/|Extend
落|/là/|fall
辣椒|/làjiāo/|chili
啦|/la/|La
来临|/láilín/|advent
来往|/láiwǎng/|coming and going
赖|/lài/|rely
拦|/lán/|bar
栏|/lán/|column
兰花|/lánhuā/|orchid
烂|/làn/|rotten
狼|/láng/|Wolf
朗读|/lǎngdú/|Read aloud
牢|/láo/|prison
劳动力|/láodònglì/|labor force
老实|/lǎoshi/|honest
老鼠|/lǎoshǔ/|mouse
老太太|/lǎotàitai/|old lady
乐于|/lèyú/|glad to
雷|/léi/|thunder
类别|/lèibié/|category
理|/lǐ/|reason
理财|/lǐcái/|Financial Management
理科|/lǐkē/|science
理念|/lǐniàn/|idea
理性|/lǐxìng/|reason
立|/lì/|stand
粒|/lì/|grain
立场|/lìchǎng/|position
力度|/lìdù/|Strength
历经|/lìjīng/|Experience
历年|/lìnián/|over the years
例外|/lìwài/|exception
利息|/lìxī/|Interest
联合国|/Liánhéguó/|United Nations
联网|/liánwǎng/|networking
联想|/liánxiǎng/|Lenovo
链接|/liànjiē/|Link
两岸|/liǎng’àn/|Cross-Strait
两极|/liǎngjí/|polar
晾|/liàng/|air
料 (名)|/liào/|material (noun)
料 (动)|/liào/|Material (movement)
淋|/lín/|Lin
凌晨|/língchén/|early morning
流程|/liúchéng/|process
流动|/liúdòng/|flow
浏览器|/liúlǎnqì/|Browser
流量|/liúliàng/|flow
流入|/liúrù/|Inflow
流通|/liútōng/|Circulation
楼道|/lóudào/|corridor
露|/lòu/|dew
漏洞|/lòudòng/|Vulnerability
露|/lù/|dew
路程|/lùchéng/|journey
路况|/lùkuàng/|Road conditions
路面|/lùmiàn/|pavement
录像|/lùxiàng/|Video
录用|/lùyòng/|Recruitment
录制|/lùzhì/|Recording
旅程|/lǚchéng/|journey
旅途|/lǚtú/|Journey
履行|/lǚxíng/|fulfill
率|/lǜ/|Rate
绿化|/lǜhuà/|Greenery
轮 (量)|/lún/|Wheel (Quantity)
轮船|/lúnchuán/|ships
轮流|/lúnliú/|turn
轮椅|/lúnyǐ/|wheelchair
轮子|/lúnzi/|wheel
论坛|/lùntán/|forum
落地|/luòdì/|Landing
落后|/luòhòu/|behind
马虎|/mǎhu/|careless
码头|/mǎtóu/|pier
蚂蚁|/mǎyǐ/|Ant
嘛|/ma/|Well
埋|/mái/|Bury
迈|/mài/|Mai
麦克风|/màikèfēng/|microphone
漫长|/màncháng/|Long
漫画|/mànhuà/|comics
盲人|/mángrén/|blind
冒|/mào/|Brave
冒险|/màoxiǎn/|adventure
贸易|/màoyì/|trading
煤|/méi/|coal
梅花|/méihuā/|plum bossom
眉毛|/méimao/|Eyebrow
美观|/měiguān/|Aesthetically pleasing
弥补|/míbǔ/|make up
迷人|/mírén/|charming
密|/mì/|dense
密度|/mìdù/|density
蜜蜂|/mìfēng/|bee
密集|/mìjí/|dense
棉|/mián/|cotton
免|/miǎn/|waived
勉强|/miǎnqiǎng/|reluctantly
